1738589919.0939, [66, 32, 19]
1738589919.1272392, [72, 37, 26]
1738589919.1605794, [66, 34, 20]
1738589919.1939187, [66, 32, 19]
1738589919.2272587, [70, 34, 21]
1738589919.260598, [66, 32, 21]
1738589919.293937, [65, 33, 19]
1738589919.327283, [70, 35, 24]
1738589919.36063, [64, 29, 18]
1738589919.3939762, [65, 33, 19]
1738589919.4273236, [69, 34, 21]
1738589919.4606698, [66, 34, 22]
1738589919.4940171, [66, 34, 22]
1738589919.5273633, [69, 34, 23]
1738589919.594057, [66, 32, 21]
1738589919.6274047, [69, 34, 23]
1738589919.660751, [64, 31, 21]
1738589919.694099, [65, 32, 21]
1738589919.7274456, [64, 31, 19]
1738589919.7607932, [60, 30, 17]
1738589919.79414, [60, 28, 16]
1738589919.8608346, [61, 29, 19]
1738589919.8941827, [64, 31, 21]
1738589919.9275298, [65, 32, 21]
1738589919.9608777, [60, 28, 16]
1738589919.9942248, [60, 30, 17]
1738589920.027573, [65, 30, 19]
1738589920.0609202, [58, 28, 18]
1738589920.0942686, [62, 30, 18]
1738589920.1276157, [64, 29, 18]
1738589920.160964, [61, 29, 19]
1738589920.1943116, [61, 29, 19]
1738589920.22766, [65, 30, 21]
1738589920.2610075, [58, 29, 16]
1738589920.2943575, [63, 28, 17]
1738589920.3276975, [62, 30, 20]
1738589920.3610384, [60, 29, 21]
1738589920.3943784, [60, 28, 16]
1738589920.4277194, [65, 33, 19]
1738589920.4610593, [61, 31, 16]
1738589920.4944003, [62, 32, 19]
1738589920.52774, [64, 31, 19]
1738589920.5610807, [57, 30, 14]
1738589920.5944207, [64, 31, 19]
1738589920.6277614, [65, 30, 21]
1738589920.6611013, [60, 33, 19]
1738589920.6944418, [64, 31, 19]
1738589920.7277818, [65, 30, 19]
1738589920.7611222, [58, 28, 18]
1738589920.7944622, [63, 33, 21]
1738589920.8278027, [65, 32, 21]
1738589920.8944829, [62, 32, 21]
1738589920.9278226, [62, 30, 18]
1738589920.961163, [60, 30, 17]
1738589920.9945028, [64, 31, 21]
1738589921.027843, [65, 32, 21]
1738589921.0611825, [58, 30, 19]
1738589921.0945232, [62, 32, 19]
1738589921.1278625, [62, 30, 18]
1738589921.161203, [58, 28, 18]
1738589921.1945422, [62, 32, 21]
1738589921.2278829, [64, 31, 19]
1738589921.2612221, [58, 30, 19]
1738589921.2945623, [65, 32, 23]
1738589921.327903, [64, 31, 21]
1738589921.3612447, [59, 26, 17]
1738589921.3945854, [65, 32, 23]
1738589921.4279273, [66, 34, 22]
1738589921.4612677, [58, 28, 20]
1738589921.4946094, [65, 32, 21]
1738589921.5279503, [66, 34, 22]
1738589921.5612917, [58, 29, 16]
1738589921.5946324, [64, 31, 21]
1738589921.6279738, [62, 30, 18]
1738589921.6613145, [56, 26, 16]
1738589921.694656, [64, 29, 18]
1738589921.7279966, [66, 32, 21]
1738589921.761338, [59, 31, 20]
1738589921.7946784, [62, 30, 18]
1738589921.82802, [65, 32, 21]
1738589921.8613603, [62, 31, 23]
1738589921.8947017, [63, 33, 21]
1738589921.9613836, [60, 27, 18]
1738589921.9947238, [68, 36, 24]
1738589922.0280652, [68, 36, 24]
1738589922.0614054, [64, 31, 21]
1738589922.0947468, [68, 36, 24]
1738589922.128087, [64, 34, 22]
1738589922.1614282, [64, 34, 24]
1738589922.1947687, [71, 36, 25]
1738589922.2281098, [70, 35, 24]
1738589922.26145, [62, 32, 19]
1738589922.2947888, [71, 36, 25]
1738589922.328137, [68, 38, 23]
1738589922.3614864, [66, 34, 20]
1738589922.3948345, [70, 36, 22]
1738589922.4281838, [69, 34, 23]
1738589922.4615319, [66, 33, 24]
1738589922.4948814, [70, 35, 24]
